symbol,baseAsset,quoteAsset,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
SNGLSETH,SNGLS,ETH,0.00000000,0.000,0.00005306,0.00005306,0.00005306,207.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00005306,0.00005306,0.00005306,207.00000000,0.01098342,1604223738964,1604310138964,1228253,1228253,1
KNCBTC,KNC,BTC,0.00000009,0.187,0.00004860,0.00004825,0.00004832,17.00000000,0.00004825,50.00000000,0.00004832,983.00000000,0.00004823,0.00004982,0.00004728,1064517.00000000,51.73879675,1607498891031,1607585291031,13042639,13047033,4395
KNCETH,KNC,ETH,-0.00002390,-1.490,0.00157665,0.00160580,0.00158000,2.00000000,0.00157100,50.00000000,0.00157570,52.00000000,0.00160390,0.00160890,0.00154440,112051.00000000,176.66488730,1607498886133,1607585286133,3869755,3870470,716
FUNBTC,FUN,BTC,0.00000001,5.000,0.00000021,0.00000021,0.00000021,5852.00000000,0.00000020,15163553.00000000,0.00000021,7998052.00000000,0.00000020,0.00000022,0.00000020,58883165.00000000,12.38035389,1607498883858,1607585283858,6527874,6529108,1235
FUNETH,FUN,ETH,-0.00000015,-2.183,0.00000682,0.00000684,0.00000672,14671.00000000,0.00000671,16693.00000000,0.00000677,14563.00000000,0.00000687,0.00000714,0.00000664,9612186.00000000,65.56181260,1607498921349,1607585321349,2092556,2093027,472
SNMBTC,SNM,BTC,-0.00000001,-2.439,0.00000041,0.00000040,0.00000040,6983.00000000,0.00000040,415142.00000000,0.00000041,1826238.00000000,0.00000041,0.00000042,0.00000039,7720503.00000000,3.16197941,1607498896866,1607585296866,5204518,5204876,359
SNMETH,SNM,ETH,0.00000000,0.000,0.00004986,0.00004986,0.00004986,585.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00004986,0.00004986,0.00004986,585.00000000,0.02916810,1604223738964,1604310138964,1197836,1197836,1
NEOETH,NEO,ETH,-0.00052700,-1.760,0.02951548,0.03003600,0.02942300,21.32000000,0.02935500,100.58000000,0.02942300,4.34000000,0.02995000,0.03034100,0.02888800,14131.03000000,417.08412537,1607498921090,1607585321090,8873352,8874668,1317
LINKBTC,LINK,BTC,0.00001044,1.586,0.00067294,0.00065892,0.00066888,225.50000000,0.00066826,71.30000000,0.00066874,39.00000000,0.00065844,0.00069001,0.00065040,1168361.80000000,786.23438379,1607498922381,1607585322381,45949088,45979762,30675
LINKETH,LINK,ETH,-0.00009800,-0.448,0.02184722,0.02189500,0.02179800,1.00000000,0.02177600,2.28000000,0.02180100,1.00000000,0.02189600,0.02223600,0.02154800,70568.73000000,1541.73051023,1607498920874,1607585320874,10187826,10191212,3387
XVGBTC,XVG,BTC,0.00000003,9.375,0.00000034,0.00000033,0.00000035,24231.00000000,0.00000034,20528245.00000000,0.00000035,7447355.00000000,0.00000032,0.00000036,0.00000031,361080607.00000000,121.68969031,1607498918945,1607585318945,22339204,22345186,5983
